"""Daddy’s home baby. (Goes home to nobody) 🤦🏽‍♂️😔🤷🏽‍♂️ https://t.co/YfEw6q1epF""","""Daddy’s home baby. (Goes home to nobody)  https://t.co/YfEw6q1epF""","{""😔"": 1, ""🤦🏽‍♂️"": 1, ""🤷🏽‍♂️"": 1}"
"""RT @BestDailyHarry: 📽 | Harry talking about being in front of strong women in Irving, Texas. • October 10, 2017. \n\n(via ©kittenharry) https…""","""RT @BestDailyHarry:  | Harry talking about being in front of strong women in Irving, Texas. • October 10, 2017. \n\n(via kittenharry) https…""","{""©"": 1, ""📽"": 1}"
"""RT @jaynyrjoy: im trying 😭 https://t.co/PVnF1yFt6A""","""RT @jaynyrjoy: im trying  https://t.co/PVnF1yFt6A""","{""😭"": 1}"
"""@sink_or_swim I look forward to reading it!! I'll probably do the same. And yeah it is an oh well at this point 😕""","""@sink_or_swim I look forward to reading it!! I'll probably do the same. And yeah it is an oh well at this point ""","{""😕"": 1}"
"""RT @lilponce29: English is not my subject😓""","""RT @lilponce29: English is not my subject""","{""😓"": 1}"
"""RT @FunnyBrawls: all I saw was dude in the top left fall over the bushes trying to get to the fight 😂😂😂 https://t.co/sAcK1ouWsu""","""RT @FunnyBrawls: all I saw was dude in the top left fall over the bushes trying to get to the fight  https://t.co/sAcK1ouWsu""","{""😂"": 3}"
"""RT @fanatic_got7_: Mark is so freaking gorgeous ㅠㅠ🍓🍒\n\n#7for7 #YouAre https://t.co/2KVJVUY62l""","""RT @fanatic_got7_: Mark is so freaking gorgeous ㅠㅠ\n\n#7for7 #YouAre https://t.co/2KVJVUY62l""","{""🍒"": 1, ""🍓"": 1}"
"""@SrBachchan Happy birthday sir 🎂🎂""","""@SrBachchan Happy birthday sir ""","{""🎂"": 2}"
"""RT @RamIsRising: Follow everyone who retweets this 😎 🌩🏈a2""","""RT @RamIsRising: Follow everyone who retweets this  a2""","{""🌩"": 1, ""🏈"": 1, ""😎"": 1}"
"""RT @Sailor_Jinu: @elitejean WINNER for YOF 😂\n\n#WINNER #YouthOverFlower #fanart #winnerfanart #kangseungyoon #KimJinWoo #leeseunghoon… ""","""RT @Sailor_Jinu: @elitejean WINNER for YOF \n\n#WINNER #YouthOverFlower #fanart #winnerfanart #kangseungyoon #KimJinWoo #leeseunghoon… ""","{""😂"": 1}"
"""@_Vondering Damn that sucks. We are just a like 😅😪""","""@_Vondering Damn that sucks. We are just a like ""","{""😅"": 1, ""😪"": 1}"
"""RT @randywongg: But just know if it’s not from me, it’s not the real deal 😊 that is all. Have a great day everyone😁""","""RT @randywongg: But just know if it’s not from me, it’s not the real deal  that is all. Have a great day everyone""","{""😁"": 1, ""😊"": 1}"
"""RT @RelatableQuote: Miley singing See You Again in 2017... I am actually crying right now 😭 https://t.co/be2EA3OYZm""","""RT @RelatableQuote: Miley singing See You Again in 2017... I am actually crying right now  https://t.co/be2EA3OYZm""","{""😭"": 1}"
"""RT @TheeOnlyOciera: \""You don't look natural.\"" 😒 I wasn't trying to bitch. https://t.co/DLzAGXxs3W""","""RT @TheeOnlyOciera: \""You don't look natural.\""  I wasn't trying to bitch. https://t.co/DLzAGXxs3W""","{""😒"": 1}"
"""@ChristianHauter @jstrode_13 @littlej5 @Pacers @jacksdonuts What happened against the Pistons?  And remember you’ve already established no excuses and it doesn’t matter who rested or didn’t play... 😂""","""@ChristianHauter @jstrode_13 @littlej5 @Pacers @jacksdonuts What happened against the Pistons?  And remember you’ve already established no excuses and it doesn’t matter who rested or didn’t play... ""","{""😂"": 1}"
"""Today I was like 🤤😌 it’s amazing what God will take you through... To Produce your harvest""","""Today I was like  it’s amazing what God will take you through... To Produce your harvest""","{""😌"": 1, ""🤤"": 1}"
"""RT @BaddiessNation: She’s 😍😍 @queen_gi24 https://t.co/uedMW2uEjG""","""RT @BaddiessNation: She’s  @queen_gi24 https://t.co/uedMW2uEjG""","{""😍"": 2}"
"""@FourForFour_ Complete and utter embarrassment! 93% chance of making World Cup and didn't even have to score a goal to do so. #USMNT\nReally screwed the 🐩⚽""","""@FourForFour_ Complete and utter embarrassment! 93% chance of making World Cup and didn't even have to score a goal to do so. #USMNT\nReally screwed the ""","{""⚽"": 1, ""🐩"": 1}"
"""☹️I love him so much i just want to be able to see him""","""️I love him so much i just want to be able to see him""","{""☹"": 1}"
"""Damn son, @Eminem dropped the 💣💥 https://t.co/H8hn8F0l7L""","""Damn son, @Eminem dropped the  https://t.co/H8hn8F0l7L""","{""💣"": 1, ""💥"": 1}"
"""RT @minaalvz: sooooo proud 💛 https://t.co/Z8A5ftllQa""","""RT @minaalvz: sooooo proud  https://t.co/Z8A5ftllQa""","{""💛"": 1}"
"""RT @MurniAqila: i'm so amazed..!! 😍😍 https://t.co/YsbvNOCgJU""","""RT @MurniAqila: i'm so amazed..!!  https://t.co/YsbvNOCgJU""","{""😍"": 2}"
"""RT @_Jaiiiiii: Lol niggas wanna be treated the way Herb get treated but not doing shit herb doing for his bitch😭 https://t.co/MEkrtsE8Bw""","""RT @_Jaiiiiii: Lol niggas wanna be treated the way Herb get treated but not doing shit herb doing for his bitch https://t.co/MEkrtsE8Bw""","{""😭"": 1}"
"""RT @UNFPA: These 5 #girls are speaking out on gender inequality &amp; inspiring positive change around the 🌎:… ""","""RT @UNFPA: These 5 #girls are speaking out on gender inequality &amp; inspiring positive change around the :… ""","{""🌎"": 1}"
"""RT @snowflurries22: iTunes Indonesia🇮🇩\nGOT7 - You Are\n#1 on K-pop Charts\n#19 on All genre Charts\n\nGOT7 &lt;7 for 7&gt; album\n#1 on K-pop Char… ""","""RT @snowflurries22: iTunes Indonesia\nGOT7 - You Are\n#1 on K-pop Charts\n#19 on All genre Charts\n\nGOT7 &lt;7 for 7&gt; album\n#1 on K-pop Char… ""","{""🇮🇩"": 1}"
"""RT @AYOGWHY: bruhhh im dead 💀😭 https://t.co/SntXphqkBF""","""RT @AYOGWHY: bruhhh im dead  https://t.co/SntXphqkBF""","{""💀"": 1, ""😭"": 1}"
"""RT @PETTYMAMII: Not having your hair and nails done is very depressing 🤣""","""RT @PETTYMAMII: Not having your hair and nails done is very depressing ""","{""🤣"": 1}"
"""RT @Black_Escimo: Wish I was laid up 🙄""","""RT @Black_Escimo: Wish I was laid up ""","{""🙄"": 1}"
"""RT @Love_intruder: ❌❌❌ Slide in real man ➡ https://t.co/UNzaafh27T\n https://t.co/7WnTxFzMVz""","""RT @Love_intruder:  Slide in real man  https://t.co/UNzaafh27T\n https://t.co/7WnTxFzMVz""","{""❌"": 3, ""➡"": 1}"
"""RT @itsthoughs: I love it 💕 https://t.co/22rMCjaZCC""","""RT @itsthoughs: I love it  https://t.co/22rMCjaZCC""","{""💕"": 1}"
"""RT @lovetogive2: Bwaha!! Can't make this stuff up: #Murdoch part-owner #MoscowTimes &amp; funded Putin-linked #Trump advisor #Manafort👉… ""","""RT @lovetogive2: Bwaha!! Can't make this stuff up: #Murdoch part-owner #MoscowTimes &amp; funded Putin-linked #Trump advisor #Manafort… ""","{""👉"": 1}"
"""proud of my family 💝""","""proud of my family ""","{""💝"": 1}"
"""RT @GautamGang: Sapna killing it in the tomorrow's promo 😂😂 #BB11 #Dangal""","""RT @GautamGang: Sapna killing it in the tomorrow's promo  #BB11 #Dangal""","{""😂"": 2}"
"""RT @incarceratedbob: Damn @AaronRodgers12 🔥 https://t.co/VQKaJv7KGU""","""RT @incarceratedbob: Damn @AaronRodgers12  https://t.co/VQKaJv7KGU""","{""🔥"": 1}"
"""Let's fast forward through tomorrow 🙃""","""Let's fast forward through tomorrow ""","{""🙃"": 1}"
"""RT @HandyRed: Made history again with 5 words #Raw 😎 #RomanReigns King of #HisYard #Legend https://t.co/iBNbdxD3XC""","""RT @HandyRed: Made history again with 5 words #Raw  #RomanReigns King of #HisYard #Legend https://t.co/iBNbdxD3XC""","{""😎"": 1}"
"""RT @KEKECUTTHROAT: Once I feel different about you, you done 🅿️""","""RT @KEKECUTTHROAT: Once I feel different about you, you done ️""","{""🅿"": 1}"
"""Its official. I have been to all 10 ASEAN countries! 🎉\n\n#airasia #travelgr8 https://t.co/4WuyTqR0wo""","""Its official. I have been to all 10 ASEAN countries! \n\n#airasia #travelgr8 https://t.co/4WuyTqR0wo""","{""🎉"": 1}"
"""OKAY EMINEM 😩😩😩😩 #FUCKDONALDTRUMP""","""OKAY EMINEM  #FUCKDONALDTRUMP""","{""😩"": 4}"
"""RT @perriyaki: afterschool dusk 🌆\n#soonhoon #hozi #호우 #woozi #hoshi https://t.co/b2VI6dk7BC""","""RT @perriyaki: afterschool dusk \n#soonhoon #hozi #호우 #woozi #hoshi https://t.co/b2VI6dk7BC""","{""🌆"": 1}"
"""RT @lilwilldte: #FreeWorld🌎 out now on #Spotify https://t.co/KesqLfSSrM""","""RT @lilwilldte: #FreeWorld out now on #Spotify https://t.co/KesqLfSSrM""","{""🌎"": 1}"
"""RT @_PO2345: Here is @QuavoStuntin with the @SOLEFLY AJ17's. RD is Feb. 2018. Rumored to be 2300 pairs. 📹: @Migos https://t.co/gVOpF9mwVI""","""RT @_PO2345: Here is @QuavoStuntin with the @SOLEFLY AJ17's. RD is Feb. 2018. Rumored to be 2300 pairs. : @Migos https://t.co/gVOpF9mwVI""","{""📹"": 1}"
"""RT @_xToxic: Lemme eat that pussy and play w that clit🤤😍😍😍""","""RT @_xToxic: Lemme eat that pussy and play w that clit""","{""😍"": 3, ""🤤"": 1}"
"""@applejee19 Ugh guys 🙄🙄🙄""","""@applejee19 Ugh guys ""","{""🙄"": 3}"
"""@6iyvnnv6 But what if I can’t 🤔?""","""@6iyvnnv6 But what if I can’t ?""","{""🤔"": 1}"
"""RT @94_tisha: I swear God just keeps making a way🙌🏾🙏🏾""","""RT @94_tisha: I swear God just keeps making a way""","{""🙌🏾"": 1, ""🙏🏾"": 1}"
"""@heiHyunwoo Good morning 🤗""","""@heiHyunwoo Good morning ""","{""🤗"": 1}"
"""@gryffind0ll I kinda wanna know why she has so many brushes. 🤷🏼‍♀️""","""@gryffind0ll I kinda wanna know why she has so many brushes. ""","{""🤷🏼‍♀️"": 1}"
"""I nearly effing cried when the kids suddenly sang silent night! I effing love the music in this game 😭😭😭😭😂😭😂😂 \n#ritsukiplaysハイシュタ""","""I nearly effing cried when the kids suddenly sang silent night! I effing love the music in this game  \n#ritsukiplaysハイシュタ""","{""😂"": 3, ""😭"": 5}"
"""Welp. That was quick 🤷🏽‍♀️""","""Welp. That was quick ""","{""🤷🏽‍♀️"": 1}"
"""RT @jngwyng: JWY feeding the duck 😂 https://t.co/kltdMKP76v""","""RT @jngwyng: JWY feeding the duck  https://t.co/kltdMKP76v""","{""😂"": 1}"
"""SHOUTOUT TO DERRICK 🌹 https://t.co/8W9y00CcaN""","""SHOUTOUT TO DERRICK  https://t.co/8W9y00CcaN""","{""🌹"": 1}"
"""RT @bgood12345: Bannon:Donors Sick &amp; Tired of Karl Rove, Steven Law,Mitch McConnell Losing,Wasting Millions💥It’s a New Game in Town💥 https:…""","""RT @bgood12345: Bannon:Donors Sick &amp; Tired of Karl Rove, Steven Law,Mitch McConnell Losing,Wasting MillionsIt’s a New Game in Town https:…""","{""💥"": 2}"
"""RT @killaclothes: Rocky &amp; Tyler🔥 https://t.co/VRPkSbigt3""","""RT @killaclothes: Rocky &amp; Tyler https://t.co/VRPkSbigt3""","{""🔥"": 1}"
"""RT @iHeartRadio: 🚨 Tickets for all dates on the #iHeartJingleBall tour go on sale to @CapitalOne cardholders tomorrow at 10am:… ""","""RT @iHeartRadio:  Tickets for all dates on the #iHeartJingleBall tour go on sale to @CapitalOne cardholders tomorrow at 10am:… ""","{""🚨"": 1}"
"""RT @ThatsSarcasm: SO CUTE 😍 https://t.co/lERcngGUXj""","""RT @ThatsSarcasm: SO CUTE  https://t.co/lERcngGUXj""","{""😍"": 1}"
"""Reciprocality? 🤣😂😂 https://t.co/vXgm9hm273""","""Reciprocality?  https://t.co/vXgm9hm273""","{""😂"": 2, ""🤣"": 1}"
"""RT @HayleyssWorldd: Nice and slow 💦""","""RT @HayleyssWorldd: Nice and slow ""","{""💦"": 1}"
"""I want more of this 6lack!! 🔥🔥 https://t.co/nWOPcjR4l4""","""I want more of this 6lack!!  https://t.co/nWOPcjR4l4""","{""🔥"": 2}"
"""taem posting 3 pics at a time on instagram to match up with the teasers ㅋㅋ 😄""","""taem posting 3 pics at a time on instagram to match up with the teasers ㅋㅋ ""","{""😄"": 1}"
"""RT: Poplar Tree ES #PoplarTreeES #Elementary #School for #SummerCamp at #RoyalCyberClub 🕰️🖥️🎮💎 https://t.co/zwcXfGxIDV""","""RT: Poplar Tree ES #PoplarTreeES #Elementary #School for #SummerCamp at #RoyalCyberClub ️️ https://t.co/zwcXfGxIDV""","{""🎮"": 1, ""💎"": 1, ""🕰"": 1, ""🖥"": 1}"
"""RT @rampaiger_93: I miss so much the Team PCB 😥\n@RealPaigeWWE @MsCharlotteWWE @BeckyLynchWWE https://t.co/gb3goJqaVB""","""RT @rampaiger_93: I miss so much the Team PCB \n@RealPaigeWWE @MsCharlotteWWE @BeckyLynchWWE https://t.co/gb3goJqaVB""","{""😥"": 1}"
"""RT @bimvibin: OHHHHHH LMAOOOO,\nHe’s Big mad because his name is Alok and autocorrect changed it to Akon 😭😭😭 https://t.co/BoWxaaZ89x""","""RT @bimvibin: OHHHHHH LMAOOOO,\nHe’s Big mad because his name is Alok and autocorrect changed it to Akon  https://t.co/BoWxaaZ89x""","{""😭"": 3}"
"""i opened my eyes.. 🙄 https://t.co/n8L5Kw8Hvx""","""i opened my eyes..  https://t.co/n8L5Kw8Hvx""","{""🙄"": 1}"
"""RT @AmaAmaLeeLee: There is nothing purer in this world than my doggo delicately eating watermelon slices. God bless 🍉 https://t.co/cqUZtByb…""","""RT @AmaAmaLeeLee: There is nothing purer in this world than my doggo delicately eating watermelon slices. God bless  https://t.co/cqUZtByb…""","{""🍉"": 1}"
"""@jadarrionevans Lol yes I would. I was just asking what dads would your weak ass give?🤔🤣""","""@jadarrionevans Lol yes I would. I was just asking what dads would your weak ass give?""","{""🤔"": 1, ""🤣"": 1}"
"""RT @mimisane: Every morning.. 😭 https://t.co/grSYnRtfCD""","""RT @mimisane: Every morning..  https://t.co/grSYnRtfCD""","{""😭"": 1}"
"""@suhelseth Very true😂😂😂""","""@suhelseth Very true""","{""😂"": 3}"
"""RT @ysabellesar: Me the past couple of days 😂 https://t.co/8KI4PYHclA""","""RT @ysabellesar: Me the past couple of days  https://t.co/8KI4PYHclA""","{""😂"": 1}"
"""CONGRATS TO MY PALS WHOSW RUNS WERE ACCEPTED FOR AGDQ! 🙏🙏🙏✨✨""","""CONGRATS TO MY PALS WHOSW RUNS WERE ACCEPTED FOR AGDQ! ""","{""✨"": 2, ""🙏"": 3}"
"""@gtau28 forreal @Mkloveeee_ curved me before. 🤷🏽‍♂️ but God is good!🙌🏽🙏🏽""","""@gtau28 forreal @Mkloveeee_ curved me before.  but God is good!""","{""🙌🏽"": 1, ""🙏🏽"": 1, ""🤷🏽‍♂️"": 1}"
"""Talking to my bf on the phone makes me miss him more 😫""","""Talking to my bf on the phone makes me miss him more ""","{""😫"": 1}"
"""RT @MarkRuffalo: Taking over @enews Instagram Story tonight for the #ThorRagnarok⚡️ premiere! Stay tuned! 🤘 https://t.co/JfT9826qhY""","""RT @MarkRuffalo: Taking over @enews Instagram Story tonight for the #ThorRagnarok️ premiere! Stay tuned!  https://t.co/JfT9826qhY""","{""⚡"": 1, ""🤘"": 1}"
"""@GraysenLaurels Thank you love miss you more ❤️❤️""","""@GraysenLaurels Thank you love miss you more ️️""","{""❤"": 2}"
"""RT @taehyvngpics: Hello 👀 https://t.co/vsYA1d4FQU""","""RT @taehyvngpics: Hello  https://t.co/vsYA1d4FQU""","{""👀"": 1}"
"""It hurts now 💔 but it won’t hurt forever ✨""","""It hurts now  but it won’t hurt forever ""","{""✨"": 1, ""💔"": 1}"
"""RT @_Mandieeee: Look what my weed man texted me young 😂😂 https://t.co/z4gEnQaJzU""","""RT @_Mandieeee: Look what my weed man texted me young  https://t.co/z4gEnQaJzU""","{""😂"": 2}"
"""Can't sleep 🙄😔""","""Can't sleep ""","{""😔"": 1, ""🙄"": 1}"
"""RT @QView32: With stolen SC pick that Dems refused to fight😤  Supreme Court dismisses travel ban case - USA TODAY https://t.co/PRAW79BMhV""","""RT @QView32: With stolen SC pick that Dems refused to fight  Supreme Court dismisses travel ban case - USA TODAY https://t.co/PRAW79BMhV""","{""😤"": 1}"
"""RT @moonlightdollz: @candycoatedsoul i have only one thing to say.... you’re hot. \nk bye 😍""","""RT @moonlightdollz: @candycoatedsoul i have only one thing to say.... you’re hot. \nk bye ""","{""😍"": 1}"
"""i just wanna be happy🙄🙂""","""i just wanna be happy""","{""🙂"": 1, ""🙄"": 1}"
"""RT @Za__cK: @jayjayriv Missed you jay jay 💞""","""RT @Za__cK: @jayjayriv Missed you jay jay ""","{""💞"": 1}"
"""RT @TeamAlbanians: Tirana, Albania from above 🚁 https://t.co/3ziE6gN6SF""","""RT @TeamAlbanians: Tirana, Albania from above  https://t.co/3ziE6gN6SF""","{""🚁"": 1}"
"""RT @LuhanBar_China: [20171011]Dear #LuHan, whenever you need me, I'll always be here. 😌😌😌#LuHanSweetCombat Morning, our Lu Family! ❤️❤️… ""","""RT @LuhanBar_China: [20171011]Dear #LuHan, whenever you need me, I'll always be here. #LuHanSweetCombat Morning, our Lu Family! ️️… ""","{""❤"": 2, ""😌"": 3}"
"""🙌 YASSS It's time for a great show Amber-Tiana🐬:👻🛳DID I SURVIVE?!\nhttps://t.co/adqLpZk5gX https://t.co/Vj8xSs6xIl""",""" YASSS It's time for a great show Amber-Tiana:DID I SURVIVE?!\nhttps://t.co/adqLpZk5gX https://t.co/Vj8xSs6xIl""","{""🐬"": 1, ""👻"": 1, ""🙌"": 1, ""🛳"": 1}"
"""Nothing🍁""","""Nothing""","{""🍁"": 1}"
"""RT @alozrasT: 🔊Watch a Feminist and a Pervert Present an Accused RAPIST with an Award‼️\n#JenniferLawrence\n#HarveyWeinstein\n\n👉VIDE… ""","""RT @alozrasT: Watch a Feminist and a Pervert Present an Accused RAPIST with an Award️\n#JenniferLawrence\n#HarveyWeinstein\n\nVIDE… ""","{""‼"": 1, ""👉"": 1, ""🔊"": 1}"
"""RT @urbandoll: cotton candy realness has been served 🍭 https://t.co/nQYFaCLmDM""","""RT @urbandoll: cotton candy realness has been served  https://t.co/nQYFaCLmDM""","{""🍭"": 1}"
"""RT @ArmaanMalik22: Don’t worry there’s only me ❤️ https://t.co/99eBoSidPT""","""RT @ArmaanMalik22: Don’t worry there’s only me ️ https://t.co/99eBoSidPT""","{""❤"": 1}"
"""RT @fenniferyu: my professor uploaded our grades 3 hours after the exam... all you other professors: TAKE NOTE 🗣""","""RT @fenniferyu: my professor uploaded our grades 3 hours after the exam... all you other professors: TAKE NOTE ""","{""🗣"": 1}"
"""@NivinOfficial Happy Birthday 😘""","""@NivinOfficial Happy Birthday ""","{""😘"": 1}"
"""@debbie_then Dibbieeee😍😘😂""","""@debbie_then Dibbieeee""","{""😂"": 1, ""😍"": 1, ""😘"": 1}"
"""RT @sumandsub: Looking forward to having @kjahani from @Samasource share her story at our #SF event tomorrow night! 🎟️:… ""","""RT @sumandsub: Looking forward to having @kjahani from @Samasource share her story at our #SF event tomorrow night! ️:… ""","{""🎟"": 1}"
"""RT @loneamorphous: Man, @rihanna was NOT playing with them little kids. 😭 https://t.co/qjIvVUb9LT""","""RT @loneamorphous: Man, @rihanna was NOT playing with them little kids.  https://t.co/qjIvVUb9LT""","{""😭"": 1}"
"""@b_febus @etnomla14 Literal 😂😂""","""@b_febus @etnomla14 Literal ""","{""😂"": 2}"
"""RT @PUTitrighthere_: Positive comments for the first two episodes of #WitchsCourt 👍🏻 #YoonHyunMin #JungRyeoWon https://t.co/NMrvicDMZj http…""","""RT @PUTitrighthere_: Positive comments for the first two episodes of #WitchsCourt  #YoonHyunMin #JungRyeoWon https://t.co/NMrvicDMZj http…""","{""👍🏻"": 1}"
"""I hope I sleep bomb af tonight 😭""","""I hope I sleep bomb af tonight ""","{""😭"": 1}"
"""I do agree 😇 https://t.co/apkFmyCIJH""","""I do agree  https://t.co/apkFmyCIJH""","{""😇"": 1}"
"""@kkaattiiee4 We love you too and so excited for this adventure with you 😜""","""@kkaattiiee4 We love you too and so excited for this adventure with you ""","{""😜"": 1}"
"""RT @JennaMcAvoy1: G = God ✝️\n&gt; = Is Greater \nThan the\n^ = Highs 🌄\nv = Lows\n\nI NEED THIS from https://t.co/IfawO6No0L 😍😍😍 https://t.co/N9esg…""","""RT @JennaMcAvoy1: G = God ️\n&gt; = Is Greater \nThan the\n^ = Highs \nv = Lows\n\nI NEED THIS from https://t.co/IfawO6No0L  https://t.co/N9esg…""","{""✝"": 1, ""🌄"": 1, ""😍"": 3}"
"""🚀 K Trap - Wild Thoughts just hit 1,000,000 views!\n\n@ktrap19 \n\nhttps://t.co/q7eMWabPlE""",""" K Trap - Wild Thoughts just hit 1,000,000 views!\n\n@ktrap19 \n\nhttps://t.co/q7eMWabPlE""","{""🚀"": 1}"
"""hi @Other_Ocean ,, is this supposed to happen 👀💦 , , , https://t.co/FfHW7sdu7d""","""hi @Other_Ocean ,, is this supposed to happen  , , , https://t.co/FfHW7sdu7d""","{""👀"": 1, ""💦"": 1}"
"""Once I get my mom right ima get right . #WeWorking 🙌🏾🙏🏾""","""Once I get my mom right ima get right . #WeWorking ""","{""🙌🏾"": 1, ""🙏🏾"": 1}"
"""Last shift....😴😴 I got this!!!""","""Last shift.... I got this!!!""","{""😴"": 2}"
"""RT @Skywalker_Brace: @HublotDreams It's the mighty Dips ✊🏾 https://t.co/MTTz7smhRy""","""RT @Skywalker_Brace: @HublotDreams It's the mighty Dips  https://t.co/MTTz7smhRy""","{""✊🏾"": 1}"
"""RT @Illamasqua: We love IT 🎈 @abbyrobertsartistry uses Eye Shadow in Heroine for this #Pennywise look: https://t.co/KcFmkJ6tpt https://t.co…""","""RT @Illamasqua: We love IT  @abbyrobertsartistry uses Eye Shadow in Heroine for this #Pennywise look: https://t.co/KcFmkJ6tpt https://t.co…""","{""🎈"": 1}"
"""Today someone asked me why I looked like a snack and I said \""It's October and I'm officially on the menu\"" 🤗""","""Today someone asked me why I looked like a snack and I said \""It's October and I'm officially on the menu\"" ""","{""🤗"": 1}"
"""I can't wait until I save enough money to take a trip to see the northern lights❤️ https://t.co/pYZ1Pow0QH""","""I can't wait until I save enough money to take a trip to see the northern lights️ https://t.co/pYZ1Pow0QH""","{""❤"": 1}"
"""RT @HarryMexOficial: Se rumorea que Harry hizo sound check de Don't Let Me Go 👀💛se imaginan? 😍😍""","""RT @HarryMexOficial: Se rumorea que Harry hizo sound check de Don't Let Me Go se imaginan? ""","{""👀"": 1, ""💛"": 1, ""😍"": 2}"
"""@SummerPardee Thank you ☺️""","""@SummerPardee Thank you ️""","{""☺"": 1}"
"""I love my boyfriends texting me 😆 https://t.co/DwT6LFyp6A""","""I love my boyfriends texting me  https://t.co/DwT6LFyp6A""","{""😆"": 1}"
"""👉 https://t.co/BGM7SsQJea 👈 Sex #offender search map. Sexual lives. Phim my #moi nhat #2015""",""" https://t.co/BGM7SsQJea  Sex #offender search map. Sexual lives. Phim my #moi nhat #2015""","{""👈"": 1, ""👉"": 1}"
"""RT @Team_Trump45: Outside of politics there's absolutely no proof Obama even existed...🤔 https://t.co/D8IAI4stVM""","""RT @Team_Trump45: Outside of politics there's absolutely no proof Obama even existed... https://t.co/D8IAI4stVM""","{""🤔"": 1}"
"""It fit him too small 😂""","""It fit him too small ""","{""😂"": 1}"
"""RT @DailyAkdmiks: Kodak casually eating cereal while she twerking in front of him 😭🐐🐐 https://t.co/KoQbBO07qB""","""RT @DailyAkdmiks: Kodak casually eating cereal while she twerking in front of him  https://t.co/KoQbBO07qB""","{""🐐"": 2, ""😭"": 1}"
"""RT @World_Wide_Wob: BAHAHHAHA Jarrett Jack with quite possibly the worst full-court heave in NBA history 😭 https://t.co/uzacAYbNjP""","""RT @World_Wide_Wob: BAHAHHAHA Jarrett Jack with quite possibly the worst full-court heave in NBA history  https://t.co/uzacAYbNjP""","{""😭"": 1}"
"""@TransDaddyAlex I said that every time I heard the song today. 😂""","""@TransDaddyAlex I said that every time I heard the song today. ""","{""😂"": 1}"
"""RT @markmyhearteu: they’re too happy being together😭 keep smiling and spread your love❤️\n#markson #JARK https://t.co/hg9fFS4wVV""","""RT @markmyhearteu: they’re too happy being together keep smiling and spread your love️\n#markson #JARK https://t.co/hg9fFS4wVV""","{""❤"": 1, ""😭"": 1}"
"""@Marcus11_ It hit hard after high school don't it 😂😂""","""@Marcus11_ It hit hard after high school don't it ""","{""😂"": 2}"
"""RT @brfootball: Lionel Messi out there doing his hero thing for 🇦🇷 https://t.co/BdpBVoTOqY""","""RT @brfootball: Lionel Messi out there doing his hero thing for  https://t.co/BdpBVoTOqY""","{""🇦🇷"": 1}"
"""RT @aan__: So 👏 be 👏 careful 👏 when 👏choosing 👏 the 👏 priorities 👏 https://t.co/JgWPGlf62n""","""RT @aan__: So  be  careful  when choosing  the  priorities  https://t.co/JgWPGlf62n""","{""👏"": 7}"
"""Bitchhhhh I’m drunkwgggggg😂😂😂😂""","""Bitchhhhh I’m drunkwgggggg""","{""😂"": 4}"
"""RT @Janelleeee__: Yay I got a Halloween basket 😍🖤 https://t.co/KrridpbWmi""","""RT @Janelleeee__: Yay I got a Halloween basket  https://t.co/KrridpbWmi""","{""🖤"": 1, ""😍"": 1}"
"""RT @grandeftminter: Gn I love the salami losers™ and Lic💗💗""","""RT @grandeftminter: Gn I love the salami losers and Lic""","{""™"": 1, ""💗"": 2}"
